fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2024-12-26,2024,,SUPERIOR,vid,SUPERIOR,27066627,0,MI,CASARES,CASARES,,807.0,9.0,,,7263,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2024-12-27,2024,,SUPERIOR,vid,SUPERIOR,0,0,MI,CASARES,CASARES,,135.0,12.0,,,1620,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2024-12-27,2024,,SUPERIOR,vid,SUPERIOR,0,0,MI,CASARES,CASARES,,561.0,10.0,,,5610,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-01-07,2024,2,SUPERIOR,vid,SUPERIOR,27066640,0,MI,CASARES,CASARES,,222.0,12.0,,,2664,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-01-07,2024,2,SUPERIOR,vid,SUPERIOR,27066640,0,MI,CASARES,CASARES,,384.0,10.0,,,3840,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-01-08,2024,2,21,chacra,SANDIA,82129,0,MI,SARMIENTO,SARMIENTO,,1.0,,12780.0,7120.0,5660,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-11,2024,2,21,chacra,SANDIA,82130,0,MI,SARMIENTO,SARMIENTO,,1.0,,,,2720.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-13,2024,3,13,vid,FLAME,82131,0,PASAS,PASERO,FINCA,,625.0,16.0,,,10000,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=13
2025-01-13,2024,3,21,chacra,SANDIA,71682101,0,MI,SARMIENTO,SARMIENTO,,1.0,,12040.0,6500.0,5540.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-14,2024,3,13,vid,FLAME,82131,0,PASAS,PASERO,FINCA,,612.0,16.0,612.0,,9792,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=13
2025-01-14,2024,3,11,vid,FLAME,82132,0,PASAS,PASERO,FINCA,,153.0,16.0,153.0,,2448,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-01-14,2024,3,21,chacra,SANDIA,71682102,0,MI,SARMIENTO,SARMIENTO,,1.0,,24780.0,8080.0,16700,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-15,2024,3,15,vid,FLAME,82132,0,PASAS,PASERO,FINCA,,109.0,16.0,,,1962.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=15
2025-01-15,2024,3,11,vid,FLAME,82132,0,PASAS,PASERO,FINCA,,472.0,16.0,,,8496.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-01-15,2024,3,21,chacra,SANDIA,71682103,0,MI,SARMIENTO,SARMIENTO,,1.0,,4600.0,2380.0,2220.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-16,2024,3,2,vid,FLAME,82133,0,PASAS,PASERO,FINCA,,593.0,16.0,,,10674.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=2
2025-01-16,2024,3,21,chacra,SANDIA,71682104,0,MI,SARMIENTO,SARMIENTO,,1.0,,,,500.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-16,2024,3,21,chacra,SANDIA,71682105,0,MI,SARMIENTO,SARMIENTO,,1.0,,23980.0,8000.0,15980.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-17,2024,3,2,vid,FLAME,82134,0,PASAS,PASERO,FINCA,,375.0,16.0,375.0,,6000,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=2
2025-01-17,2024,3,SUPERIOR,vid,SUPERIOR,,0,MI,ERICK C,ERICK C,,203.0,8.5,203.0,,1725.5,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-01-20,2024,4,5,vid,FIESTA,82135,0,PASAS,PASERO,FINCA,,334.0,16.0,,,5344,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=5
2025-01-20,2024,4,21,chacra,SANDIA,71682107,0,MI,SARMIENTO,SARMIENTO,,1.0,,21880.0,8000.0,13880,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-21,2024,4,4,vid,FIESTA,82136,0,PASAS,PASERO,FINCA,,573.0,16.0,,,9168,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=4
2025-01-21,2024,4,9,vid,RED GLOBE,71682108,0,MI,PUTRUELE,CAMARGO,,121.0,9.0,,,1089,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=9
2025-01-21,2024,4,6,vid,RED GLOBE,71682108,0,MI,PUTRUELE,CAMARGO,,389.0,9.0,,,3501,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-01-21,2024,4,SUPERIOR,vid,SUPERIOR,NT,0,MI,ERICK C,ERICK C,,198.0,8.5,,,1683,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-01-22,2024,4,4,vid,FIESTA,82137,0,PASAS,PASERO,FINCA,,867.0,16.0,,,13872,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=4
2025-01-22,2024,4,5,vid,FIESTA,82137,0,PASAS,PASERO,DIAZ M,,10.0,450.0,,,4500,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=5
2025-01-22,2024,4,5,vid,FIESTA,82137,0,PASAS,PASERO,DIAZ M,,6.0,320.0,,,1920,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=5
2025-01-22,2024,4,6,vid,RED GLOBE,71682110,0,MI,PUTRUELE,CAMARGO,,102.0,9.0,,,918,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-01-22,2024,4,6,vid,RED GLOBE,71682110,0,MI,PUTRUELE,CAMARGO,,275.0,15.0,,,4125,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-01-23,2024,4,4,vid,FIESTA,82138,0,PASAS,PASERO,FINCA,,566.0,16.0,,,9056,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=4
2025-01-23,2024,4,21,chacra,SANDIA,71682109,0,MI,SARMIENTO,SARMIENTO,,,,27620.0,8000.0,19620,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-23,2024,4,SULTANINA,vid,SULTANINA,71682111,0,PASAS,PASERO,DIAZ M,,20.0,324,12780.0,6300.0,6480,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-01-23,2024,4,SULTANINA,vid,SULTANINA,71682112,0,PASAS,PASERO,DIAZ M,,20.0,357,12400.0,5260.0,7140,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-01-24,2024,4,4,vid,FIESTA,82139,0,PASAS,PASERO,FINCA,,589.0,16.0,,,9424,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=4
2025-01-24,2024,4,SULTANINA,vid,SULTANINA,71682113,0,PASAS,PASERO,DIAZ M,,20.0,327,12840.0,6300.0,6540,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-01-24,2024,4,SULTANINA,vid,SULTANINA,71682114,0,PASAS,PASERO,DIAZ M,,12.0,364,12540.0,5260.0,4368,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-01-24,2024,4,FLAME,vid,FLAME,71682114,0,PASAS,PASERO,DIAZ M,,8.0,364,12540.0,5260.0,2912,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-01-27,2024,5,5,vid,FIESTA,71682001,0,PASAS,PASERO,FINCA,,666.0,16.0,,,10656,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=5
2025-01-27,2024,5,21,chacra,SANDIA,71682115,0,MI,SARMIENTO,SARMIENTO,,,,11900.0,9120.0,2780,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=21
2025-01-27,2024,5,6,vid,RED GLOBE,71682119,0,EXPO,PUTRUELE,CAMARGO,,505.0,8.2,,,4141,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
