fecha,tipo,clasificacion,monto,moneda,origen,finca,forma_pago,descripcion
2025-05-15,sueldos_personal,obreros,7050000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-06-15,sueldos_personal,obreros,8841000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-07-15,sueldos_personal,obreros,9784000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-08-15,sueldos_personal,obreros,14365000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-09-15,sueldos_personal,obreros,12108000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-10-15,sueldos_personal,obreros,14572000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-11-15,sueldos_personal,obreros,14000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-12-15,sueldos_personal,obreros,15516000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2026-01-15,sueldos_personal,obreros,16245000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2026-02-15,sueldos_personal,obreros,32560000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2026-03-15,sueldos_personal,obreros,24448000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2026-04-15,sueldos_personal,obreros,21412600.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · OBRERO FINCA
2025-05-15,sueldos_personal,encargados,4501000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-06-15,sueldos_personal,encargados,1483500.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-07-15,sueldos_personal,encargados,900000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-08-15,sueldos_personal,encargados,900000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-09-15,sueldos_personal,encargados,900000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-10-15,sueldos_personal,encargados,954000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-11-15,sueldos_personal,encargados,954000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2025-12-15,sueldos_personal,encargados,1431000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2026-01-15,sueldos_personal,encargados,1011240.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2026-02-15,sueldos_personal,encargados,1011240.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
2026-03-15,sueldos_personal,encargados,1011240.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENCARGADO
